Year,Country,Funding Category,Foreign Assistance (USD),ODA (USD)
2020,Malawi,Biosphere and Biodiversity,30604,30604.0
2020,Malawi,Social Services,515072,
2020,Malawi,Water and Sanitation,49172,
2020,Malawi,Health,1971,
2020,Mali,Construction and Civil Development,7500681,3703769.0
2020,Mali,Health,1132265,1050000.0
2020,Mali,Energy Generation and Supply,1777838,997819.0
2020,Mali,Education,198765,184053.0
2020,Mali,Commodity Aid,2434,2434.0
2020,Mali,General Programme Assistance,190580,
2020,Mali,Water and Sanitation,740839,
2020,Mali,Social Services,3509193,
2020,Mauritania,Health,14195698,13531800.0
2020,Mauritania,Transport and Storage,949442,472588.0
2020,Mauritania,Energy Generation and Supply,310373,174198.0
2020,Mauritania,Education,382800,53989.0
2020,Mauritania,Water and Sanitation,2571210,
2020,Mauritania,Social Services,10700975,
2020,Mauritania,Commodity Aid,13640,
2020,Mozambique,Education,398945,398945.0
2020,Mozambique,Biosphere and Biodiversity,40055,40055.0
2020,Mozambique,Social Services,62246,
2020,Myanmar,Health,828720,828720.0
2020,Myanmar,Biosphere and Biodiversity,21503,21503.0
2020,Myanmar,Education,5829,5829.0
2020,Myanmar,Social Services,29880,
2020,Nepal,Health,1121275,1116000.0
2020,Nepal,Education,223700,189667.0
2020,Nepal,Commodity Aid,91548,73851.0
2020,Nepal,Biosphere and Biodiversity,48629,48629.0
2020,Nepal,Water and Sanitation,940511,
2020,Nepal,Social Services,192750,
2020,Niger,Health,1197329,960000.0
2020,Niger,Education,1153427,572721.0
2020,Niger,Water and Sanitation,5483604,311896.0
2020,Niger,Construction and Civil Development,546574,
2020,Niger,Social Services,9467091,
2020,Niger,Commodity Aid,169496,
2020,Niger,General Programme Assistance,257206,
2020,Rwanda,Education,1857047,1391278.0
2020,Rwanda,Health,720000,720000.0
2020,Rwanda,Biosphere and Biodiversity,9185,9185.0
2020,Rwanda,Social Services,40022,
2020,Sao Tome and Principe,Biosphere and Biodiversity,7783,7783.0
2020,Senegal,Education,696819,590878.0
2020,Senegal,General Programme Assistance,1511868,300000.0
2020,Senegal,Transport and Storage,111625,55120.0
2020,Senegal,Water and Sanitation,787662,32671.0
2020,Senegal,Biosphere and Biodiversity,4501,4501.0
2020,Senegal,Construction and Civil Development,199450,
2020,Senegal,Commodity Aid,40966,
2020,Senegal,Agriculture,2204,
2020,Senegal,Health,63641,
2020,Senegal,Social Services,6196169,
2020,Sierra Leone,Health,4080000,4080000.0
2020,Sierra Leone,Energy Generation and Supply,1034577,587831.0
2020,Sierra Leone,Education,312273,311699.0
2020,Sierra Leone,Transport and Storage,23228,23228.0
2020,Sierra Leone,Biosphere and Biodiversity,5003,5003.0
2020,Sierra Leone,Commodity Aid,4834,
2020,Sierra Leone,Water and Sanitation,342887,
2020,Sierra Leone,Social Services,272979,
2020,Sierra Leone,General Programme Assistance,136129,
2020,Solomon Islands,Health,111429,111429.0
2020,Somalia,Construction and Civil Development,16660000,16660000.0
2020,Somalia,Energy Generation and Supply,8942301,8940000.0
2020,Somalia,Health,3822007,3784228.0
2020,Somalia,Education,534176,476217.0
2020,Somalia,General Programme Assistance,147000,147000.0
2020,Somalia,Agriculture,3450,
2020,Somalia,Water and Sanitation,1512547,
2020,Somalia,Social Services,2917830,
2020,South Sudan,General Programme Assistance,4076129,3940000.0
2020,South Sudan,Health,1140000,1140000.0
2020,South Sudan,Education,87917,87917.0
2020,South Sudan,Biosphere and Biodiversity,12002,12002.0
2020,South Sudan,Social Services,15991,
2020,Sudan,General Programme Assistance,937892211,936884903.0
2020,Sudan,Health,20134384,19364765.0
2020,Sudan,Agriculture,9918015,9910000.0
2020,Sudan,Education,8380442,8096580.0
2020,Sudan,Construction and Civil Development,421977,421977.0
2020,Sudan,Commodity Aid,2405571,368784.0
2020,Sudan,Transport and Storage,23228,23228.0
2020,Sudan,Water and Sanitation,278637,
2020,Sudan,Social Services,10147947,
2020,"Tanzania, United Republic of",Health,3052686,3052686.0
2020,"Tanzania, United Republic of",Education,776911,776911.0
2020,"Tanzania, United Republic of",Commodity Aid,106230,50687.0
2020,"Tanzania, United Republic of",Biosphere and Biodiversity,22328,22328.0
2020,"Tanzania, United Republic of",Social Services,2109346,
2020,"Tanzania, United Republic of",Water and Sanitation,972742,
2020,"Tanzania, United Republic of",General Programme Assistance,163354,
2020,Togo,Energy Generation and Supply,9760414,5478071.0
2020,Togo,Education,313612,306453.0
2020,Togo,Water and Sanitation,424292,
2020,Togo,Social Services,2335329,
2020,Tuvalu,Health,111429,111429.0
2020,Uganda,Energy Generation and Supply,5428805,2680695.0
2020,Uganda,Education,901698,890152.0
2020,Uganda,Peace and Security,100000,100000.0
2020,Uganda,Biosphere and Biodiversity,50582,50582.0
2020,Uganda,Commodity Aid,21917,21917.0
2020,Uganda,Water and Sanitation,853451,14157.0
2020,Uganda,Social Services,3843273,4541.0
2020,Uganda,Health,62360,
2020,Vanuatu,Health,111429,111429.0
2020,Yemen,Commodity Aid,35139909,31314807.0
2020,Yemen,Health,21054112,20054112.0
2020,Yemen,Industry,2140000,2140000.0
2020,Yemen,Energy Generation and Supply,413504,413504.0
2020,Yemen,Education,361295,336500.0
2020,Yemen,Government and Civil Society,54736,54736.0
2020,Yemen,Social Services,274227,8316.0
2020,Yemen,General Programme Assistance,73054,
2020,Zambia,Social Services,9995,
2020,Armenia,Health,1080000,1080000.0
2020,Armenia,Social Services,14779,
2020,Azerbaijan,Health,1982232,1982232.0
2020,Azerbaijan,Social Services,5445,
2020,"Bolivia, Plurinational State of",Biosphere and Biodiversity,19403,19403.0
2020,"Bolivia, Plurinational State of",Health,18732,18732.0
2020,Botswana,Health,840000,840000.0
2020,Botswana,Biosphere and Biodiversity,20349,20349.0
2020,Botswana,Social Services,8995,
2020,Eswatini,Biosphere and Biodiversity,12517,12517.0
2020,Kazakhstan,Health,17286764,17286764.0
2020,Kazakhstan,Commodity Aid,251557,248421.0
2020,Kazakhstan,Education,238692,238692.0
2020,Kazakhstan,General Programme Assistance,45000,45000.0
2020,Kazakhstan,Water and Sanitation,44846,
2020,Kazakhstan,Social Services,2699281,
2020,Kyrgyzstan,Health,1232628,1080000.0
2020,Kyrgyzstan,Transport and Storage,1342227,477266.0
2020,Kyrgyzstan,Water and Sanitation,2016677,98013.0
2020,Kyrgyzstan,Commodity Aid,182152,27226.0
2020,Kyrgyzstan,Education,138325,5829.0
2020,Kyrgyzstan,Energy Generation and Supply,460,
2020,Kyrgyzstan,Social Services,7167152,
2020,Kyrgyzstan,General Programme Assistance,164177,
2020,Latvia,Social Services,17852,
2020,Latvia,Commodity Aid,54451,
2020,"Moldova, Republic of",Transport and Storage,6438,6438.0
2020,"Moldova, Republic of",Social Services,12493,
2020,"Moldova, Republic of",General Programme Assistance,136129,
2020,"Moldova, Republic of",Health,600000,
2020,Mongolia,Health,6000000,6000000.0
2020,Mongolia,Education,8998,8998.0
2020,Mongolia,Social Services,66964,
2020,Paraguay,Health,6693000,6693000.0
2020,Paraguay,Communication,372764,372764.0
2020,Paraguay,Education,302704,302704.0
2020,North Macedonia,Health,1453200,1453200.0
2020,North Macedonia,Education,93264,93264.0
2020,North Macedonia,General Programme Assistance,136129,
2020,Tajikistan,Health,4462353,4242832.0
2020,Tajikistan,Water and Sanitation,3441631,700381.0
2020,Tajikistan,Education,477572,464270.0
2020,Tajikistan,Social Services,1051944,251865.0
2020,Tajikistan,Commodity Aid,112901,36482.0
2020,Tajikistan,Government and Civil Society,3703,3703.0
2020,Tajikistan,Energy Generation and Supply,9526,
2020,Turkmenistan,Health,6850026,6850026.0
2020,Uzbekistan,Government and Civil Society,9760532,9760532.0
2020,Uzbekistan,Biosphere and Biodiversity,3015942,3015942.0
2020,Uzbekistan,Health,2442404,2442404.0
2020,Uzbekistan,Transport and Storage,977403,977403.0
2020,Uzbekistan,Education,241783,241783.0
2020,Uzbekistan,Commodity Aid,174694,120242.0
2020,Zimbabwe,Health,1164000,1164000.0
2020,Zimbabwe,Transport and Storage,23228,23228.0
2020,Zimbabwe,Energy Generation and Supply,221,
2020,Zimbabwe,Social Services,420000,
2020,Antigua and Barbuda,Energy Generation and Supply,928396,310419.0
2020,Antigua and Barbuda,Health,286286,286286.0
2020,Bahamas,Health,286286,
2020,Belize,Health,286286,286286.0
2020,Cabo Verde,Transport and Storage,23228,23228.0
2020,Cook Islands,Health,111429,
2020,Cuba,Energy Generation and Supply,5347128,1787866.0
2020,Cuba,Health,1143600,1143600.0
2020,Cuba,General Programme Assistance,136129,
2020,Cuba,Biosphere and Biodiversity,17721,17721.0
2020,Dominica,Health,286286,286286.0
2020,Dominican Republic,Health,1023600,1023600.0
2020,Fiji,Health,351429,351429.0
2020,Fiji,General Programme Assistance,136129,
2020,Grenada,Health,286286,286286.0
2020,Guyana,Health,346286,346286.0
2020,Guyana,Transport and Storage,23228,23228.0
2020,Guyana,Social Services,8495,
2020,Jamaica,Health,514286,514286.0
2020,Maldives,Construction and Civil Development,12500000,12500000.0
2020,Maldives,Health,9800000,9800000.0
2020,Maldives,Transport and Storage,4743006,1680154.0
2020,Maldives,Social Services,617471,
2020,Maldives,Energy Generation and Supply,174244,58260.0
2020,Maldives,General Programme Assistance,136129,
2020,Maldives,Commodity Aid,34672,34672.0
2020,Marshall Islands,Health,111429,111429.0
2020,Mauritius,Health,669038,660000.0
2020,Mauritius,Water and Sanitation,25578,
2020,Mauritius,Social Services,15286,
2020,Mauritius,Commodity Aid,14999,14999.0
2020,Mauritius,Education,933,
2020,"Micronesia, Federated States of",Health,111429,
2020,Montserrat,Health,286286,286286.0
2020,Nauru,Health,111429,111429.0
2020,Niue,Health,111429,111429.0
2020,Palau,Health,111429,111429.0
2020,Palau,Social Services,20489,
2020,Papua New Guinea,Health,111429,111429.0
2020,"Saint Helena, Ascension and Tristan da Cunha",Biosphere and Biodiversity,25003,25003.0
2020,Samoa,Health,111429,111429.0
2020,Seychelles,Health,2667404,
2020,Seychelles,Energy Generation and Supply,1459298,
2020,Seychelles,General Programme Assistance,136129,
2020,Seychelles,Social Services,135008,
2020,Seychelles,Education,8998,
2020,Tonga,General Programme Assistance,136129,
2020,Tonga,Health,111429,111429.0
2020,Trinidad and Tobago,Health,382286,
2019,Afghanistan,Construction and Civil Development,1840000,1840000.0
2019,Afghanistan,Health,1247718,1247718.0
2019,Afghanistan,Social Services,1566935,1212976.0
2019,Afghanistan,Education,301703,301703.0
2019,Afghanistan,Water and Sanitation,69605,54922.0
2019,Afghanistan,Commodity Aid,49006,
2019,Angola,Social Services,27226,
2019,Angola,Commodity Aid,13613,
2019,Bangladesh,General Programme Assistance,1026752,1026752.0
2019,Bangladesh,Energy Generation and Supply,1758780,838145.0
2019,Bangladesh,Health,925061,602044.0
2019,Bangladesh,Education,1393531,416387.0
2019,Bangladesh,Water and Sanitation,1574314,332007.0
2019,Bangladesh,Commodity Aid,247334,98677.0
2019,Bangladesh,Transport and Storage,1494691,
2019,Bangladesh,Social Services,2707990,
2019,Benin,Education,631382,333747.0
2019,Benin,Water and Sanitation,485778,168695.0
2019,Benin,Energy Generation and Supply,60000,60000.0
2019,Benin,Commodity Aid,49929,39943.0
2019,Benin,Biosphere and Biodiversity,21503,21503.0
2019,Benin,Social Services,2777987,
2019,Benin,General Programme Assistance,136129,
2019,Bhutan,Biosphere and Biodiversity,41540,41540.0
2019,Burkina Faso,Education,573660,353500.0
2019,Burkina Faso,Biosphere and Biodiversity,14002,14002.0
2019,Burkina Faso,Water and Sanitation,221431,11544.0
2019,Burkina Faso,Social Services,3516765,
2019,Burkina Faso,Commodity Aid,31310,
2019,Burkina Faso,Health,21781,
2019,Burundi,General Programme Assistance,218483,218483.0
2019,Burundi,Government and Civil Society,50019,50019.0
2019,Burundi,Education,527033,29002.0
2019,Burundi,Social Services,626474,
2019,Cambodia,Education,376145,90394.0
2019,Cambodia,Biosphere and Biodiversity,21228,21228.0
2019,Cambodia,Water and Sanitation,249126,
2019,Cambodia,Social Services,573903,
2019,Chad,Education,1429507,1338083.0
2019,Chad,Biosphere and Biodiversity,1022750,1022750.0
2019,Chad,Industry,188946,151157.0
2019,Chad,Health,416121,149632.0
2019,Chad,Water and Sanitation,457249,131389.0
2019,Chad,Energy Generation and Supply,8304,6643.0
2019,Chad,Social Services,1413784,
2019,Chad,Commodity Aid,63980,
2019,Chad,General Programme Assistance,408386,
2019,Comoros,Commodity Aid,10748619,10748619.0
2019,Comoros,Peace and Security,10200000,10200000.0
2019,Comoros,Energy Generation and Supply,7078682,7078682.0
2019,Comoros,Construction and Civil Development,2670000,2670000.0
2019,Comoros,Education,751184,626178.0
2019,Comoros,Health,48991,48991.0
2019,Comoros,Social Services,109815,
2019,Comoros,Water and Sanitation,11226,
2019,Comoros,General Programme Assistance,272257,
2019,Djibouti,Education,33733,31794.0
2019,Djibouti,Water and Sanitation,79063,
2019,Djibouti,Social Services,127439,
2019,Congo,Peace and Security,1000000,1000000.0
2019,Congo,Education,534136,534136.0
2019,Congo,Social Services,6921,
2019,Eritrea,Debt Financing and Relief,179450797,179450797.0
2019,Eritrea,General Programme Assistance,80000000,80000000.0
2019,Eritrea,Energy Generation and Supply,4920000,4920000.0
2019,Eritrea,Health,3380000,3380000.0
2019,Eritrea,Education,1494202,1494202.0
2019,Eritrea,Transport and Storage,1200109,1200109.0
2019,Eritrea,Social Services,14318,
2019,Eritrea,Communication,49959161,49959161.0
2019,Eritrea,Education,1200677,975107.0
2019,Eritrea,General Programme Assistance,1141767,941767.0
2019,Eritrea,Health,629077,174244.0
2019,Eritrea,Biosphere and Biodiversity,7001,7001.0
2019,Eritrea,Commodity Aid,442984,4084.0
2019,Eritrea,Water and Sanitation,1846198,
2019,Eritrea,Social Services,1254463,
2019,Gambia,Transport and Storage,2883202,1427514.0
2019,Gambia,Education,662707,518375.0
2019,Gambia,Water and Sanitation,29186,
2019,Gambia,General Programme Assistance,136129,
2019,Gambia,Social Services,300347,
2019,Guinea,Energy Generation and Supply,7566496,7566496.0
2019,Guinea,Social Services,2320887,1540000.0
2019,Guinea,Government and Civil Society,510000,510000.0
2019,Guinea,Education,392676,31732.0
2019,Guinea,Biosphere and Biodiversity,10001,10001.0
2019,Guinea,Water and Sanitation,297620,
2019,Guinea,Commodity Aid,4084,
2019,Guinea,Health,13613,
2019,Guinea-Bissau,Education,31794,31794.0
2019,Guinea-Bissau,Social Services,613861,
2019,Haiti,Water and Sanitation,50000,50000.0
2019,Kiribati,Education,100000,75000.0
2019,Lesotho,Social Services,9045,
2019,Liberia,Agriculture,2500000,2500000.0
2019,Liberia,Education,1704318,1650020.0
2019,Liberia,Health,250027,187520.0
2019,Liberia,Water and Sanitation,310642,
2019,Liberia,Social Services,123862,
2019,Madagascar,Health,1125123,843842.0
2019,Madagascar,Education,525057,393793.0
2019,Madagascar,Water and Sanitation,272257,272257.0
2019,Madagascar,Biosphere and Biodiversity,53507,53507.0
2019,Madagascar,Social Services,20555,
2019,Malawi,Commodity Aid,1398857,1398857.0
2019,Malawi,Social Services,1589486,250476.0
2019,Malawi,Education,264900,150910.0
2019,Malawi,Biosphere and Biodiversity,4901,4901.0
2019,Malawi,Water and Sanitation,28903,
2019,Mali,General Programme Assistance,250190580,143116500.0
2019,Mali,Health,2419004,2300000.0
2019,Mali,Peace and Security,700000,700000.0
2019,Mali,Energy Generation and Supply,1015519,569964.0
2019,Mali,Water and Sanitation,858711,269161.0
2019,Mali,Education,381702,61424.0
2019,Mali,Agriculture,62301,60000.0
2019,Mali,Commodity Aid,37226,
2019,Mali,Social Services,5360442,
2019,Mauritania,Education,693264,286023.0
2019,Mauritania,Water and Sanitation,1569797,189360.0
2019,Mauritania,Transport and Storage,381160,188213.0
2019,Mauritania,Social Services,7379521,22000.0
2019,Mauritania,Commodity Aid,653,
2019,Mauritania,General Programme Assistance,1838,
2019,Mauritania,Health,48506,
2019,Mozambique,Commodity Aid,3940787,3816948.0
2019,Mozambique,Education,2454745,1954677.0
2019,Mozambique,Health,13500,13500.0
2019,Mozambique,Biosphere and Biodiversity,3049,3049.0
2019,Mozambique,Social Services,129426,
2019,Myanmar,Commodity Aid,1149741,1027226.0
2019,Myanmar,Biosphere and Biodiversity,17502,17502.0
2019,Myanmar,Social Services,674981,
2019,Myanmar,Water and Sanitation,115843,
2019,Myanmar,Education,79589,
2019,Nepal,Education,433013,295768.0
2019,Nepal,Water and Sanitation,145991,99992.0
2019,Nepal,Biosphere and Biodiversity,25203,25203.0
2019,Nepal,Social Services,460168,
2019,Nepal,Commodity Aid,13613,
2019,Nepal,Health,13613,
2019,Niger,Education,1014445,728484.0
2019,Niger,Health,579381,531952.0
2019,Niger,General Programme Assistance,599726,531662.0
2019,Niger,Water and Sanitation,2565059,453882.0
2019,Niger,Commodity Aid,352130,
2019,Niger,Social Services,4416938,
2019,Rwanda,Education,2430525,1649497.0
2019,Rwanda,Health,224982,224982.0
2019,Rwanda,Energy Generation and Supply,149988,149988.0
2019,Rwanda,Social Services,55139,
2019,Sao Tome and Principe,Biosphere and Biodiversity,4951,4951.0
2019,Senegal,Transport and Storage,6844541,3426466.0
2019,Senegal,Education,1222719,785343.0
2019,Senegal,Water and Sanitation,301031,79063.0
2019,Senegal,Social Services,2249994,3000.0
2019,Senegal,Commodity Aid,4084,
2019,Senegal,Health,17959,
2019,Sierra Leone,Energy Generation and Supply,4288048,1536866.0
2019,Sierra Leone,Education,1540663,1500000.0
2019,Sierra Leone,Water and Sanitation,454948,36820.0
2019,Sierra Leone,Biosphere and Biodiversity,17137,17137.0
2019,Sierra Leone,General Programme Assistance,136129,
2019,Sierra Leone,Commodity Aid,21481,
2019,Sierra Leone,Social Services,549237,
2019,Somalia,Construction and Civil Development,9550000,9550000.0
2019,Somalia,Health,1531149,1493994.0
2019,Somalia,Education,1230793,1084047.0
2019,Somalia,Commodity Aid,399412,389760.0
2019,Somalia,Water and Sanitation,611680,36820.0
2019,Somalia,Social Services,7382972,
2019,Somalia,General Programme Assistance,163354,
2019,Somalia,Agriculture,5174,
2019,South Sudan,Education,249975,249975.0
2019,South Sudan,General Programme Assistance,136129,
2019,South Sudan,Commodity Aid,500000,
2019,Sudan,Commodity Aid,148838010,148688268.0
2019,Sudan,General Programme Assistance,372218895,122218895.0
2019,Sudan,Education,9602211,8714127.0
2019,Sudan,Health,6157130,6040000.0
2019,Sudan,Construction and Civil Development,421977,421977.0
2019,Sudan,Water and Sanitation,278504,
2019,Sudan,Social Services,5645839,
2019,"Tanzania, United Republic of",Education,839210,767739.0
2019,"Tanzania, United Republic of",Commodity Aid,158230,83673.0
2019,"Tanzania, United Republic of",Biosphere and Biodiversity,83096,83096.0
2019,"Tanzania, United Republic of",Social Services,1404984,
2019,"Tanzania, United Republic of",Water and Sanitation,594205,
2019,"Tanzania, United Republic of",General Programme Assistance,163354,
2019,Togo,Education,443741,355504.0
2019,Togo,Commodity Aid,4084,
2019,Togo,Water and Sanitation,909501,
2019,Togo,Social Services,315476,
2019,Tuvalu,Environment and Climate Change,7000,7000.0
2019,Tuvalu,Social Services,7246,
2019,Tuvalu,General Programme Assistance,136129,
2019,Uganda,Commodity Aid,4058401,4046721.0
2019,Uganda,Energy Generation and Supply,3846992,1895478.0
2019,Uganda,Education,2736092,1203485.0
2019,Uganda,Water and Sanitation,637837,60890.0
2019,Uganda,Banking and Financial Services,50000,50000.0
2019,Uganda,Biosphere and Biodiversity,43946,43946.0
2019,Uganda,Social Services,8013023,6873.0
2019,Uganda,General Programme Assistance,2723,2723.0
2019,Uganda,Health,449313,
2019,Vanuatu,Education,271215,203411.0
2019,Yemen,Commodity Aid,266821395,256897845.0
2019,Yemen,Health,89934079,74423896.0
2019,Yemen,Peace and Security,25000000,25000000.0
2019,Yemen,Water and Sanitation,23495443,23437561.0
2019,Yemen,Transport and Storage,24529940,15817716.0
2019,Yemen,Energy Generation and Supply,14615589,14356672.0
2019,Yemen,Construction and Civil Development,13247133,13179069.0
2019,Yemen,General Programme Assistance,5612214,4107265.0
2019,Yemen,Industry,2960000,2960000.0
2019,Yemen,Education,2408840,1592984.0
2019,Yemen,Government and Civil Society,692867,692867.0
2019,Yemen,Fishing,475682,475682.0
2019,Yemen,Social Services,12065507,40929.0
2019,Yemen,Agriculture,24013,24013.0
2019,Yemen,Communication,18143,18143.0
2019,Zambia,Social Services,11209,
2019,Armenia,Social Services,116361,
2019,Armenia,Education,5003,
2019,Azerbaijan,Social Services,82470,
2019,"Bolivia, Plurinational State of",Biosphere and Biodiversity,18002,18002.0
2019,"Bolivia, Plurinational State of",Social Services,16491,
2019,Botswana,Commodity Aid,27226,27226.0
2019,Botswana,Social Services,9045,
2019,Eswatini,Social Services,30100,
2019,Ethiopia,Communication,49959161,49959161.0
2019,Ethiopia,Education,1200677,975107.0
2019,Ethiopia,General Programme Assistance,1141767,941767.0
2019,Ethiopia,Health,629077,174244.0
2019,Ethiopia,Biosphere and Biodiversity,7001,7001.0
2019,Ethiopia,Commodity Aid,442984,4084.0
2019,Ethiopia,Water and Sanitation,1846198,
2019,Ethiopia,Social Services,1254463,
2019,North Macedonia,Social Services,13613,
2019,North Macedonia,General Programme Assistance,136129,
2019,Kazakhstan,Education,395138,274757.0
2019,Kazakhstan,Social Services,3610751,250476.0
2019,Kazakhstan,Commodity Aid,371424,158072.0
2019,Kazakhstan,Water and Sanitation,207671,113695.0
2019,Kazakhstan,Health,20501,
2019,Kyrgyzstan,Transport and Storage,506398,180064.0
2019,Kyrgyzstan,Water and Sanitation,2174745,93393.0
2019,Kyrgyzstan,Social Services,3733511,65342.0
2019,Kyrgyzstan,Education,5326186,32671.0
2019,Kyrgyzstan,Commodity Aid,2723,
2019,Kyrgyzstan,Health,98067,
2019,Latvia,Social Services,62637,
2019,Latvia,Health,13613,
2019,"Moldova, Republic of",Education,10005,
2019,"Moldova, Republic of",Social Services,34032,
2019,"Moldova, Republic of",General Programme Assistance,136129,
2019,Mongolia,Education,2031732,2031732.0
2019,Mongolia,Social Services,114348,
2019,Tajikistan,Health,2201580,2086418.0
2019,Tajikistan,Education,852649,421050.0
2019,Tajikistan,Water and Sanitation,1360531,399458.0
2019,Tajikistan,Social Services,1299430,285870.0
2019,Tajikistan,Commodity Aid,31534,
2019,Turkmenistan,Health,1669509,1669509.0
2019,Turkmenistan,Commodity Aid,105309,105309.0
2019,Uzbekistan,Government and Civil Society,7833656,7833656.0
2019,Uzbekistan,Construction and Civil Development,5001361,1405593.0
2019,Uzbekistan,Commodity Aid,95780,95780.0
2019,Uzbekistan,Education,31732,31732.0
2019,Uzbekistan,Health,2188946,10890.0
2019,Uzbekistan,Social Services,27632,
2019,Zimbabwe,Health,2174386,2130381.0
2019,Zimbabwe,Commodity Aid,239631,239631.0
2019,Zimbabwe,Industry,50000,50000.0
2019,Zimbabwe,Water and Sanitation,2518,
2019,Zimbabwe,Social Services,29590,
2019,Antigua and Barbuda,Energy Generation and Supply,5053090,1653508.0
2019,Bahamas,Commodity Aid,250000,
2019,Bahamas,Biosphere and Biodiversity,5701,
2019,Belize,Biosphere and Biodiversity,14502,14502.0
2019,Cabo Verde,Social Services,23411,
2019,Cuba,Energy Generation and Supply,4911516,1642215.0
2019,Cuba,General Programme Assistance,408129,272000.0
2019,Cuba,Biosphere and Biodiversity,7766,7766.0
2019,Cuba,Social Services,22660,
2019,Dominica,General Programme Assistance,136129,
2019,Fiji,Education,3150000,
2019,Fiji,Social Services,7246,
2019,Fiji,General Programme Assistance,136129,
2019,Guyana,General Programme Assistance,136129,
2019,Jamaica,Biosphere and Biodiversity,8001,8001.0
2019,Maldives,Transport and Storage,10416918,7950541.0
2019,Maldives,Energy Generation and Supply,3435178,1927385.0
2019,Maldives,Commodity Aid,40575,40575.0
2019,Maldives,Social Services,51237,
2019,Maldives,Education,717505,
2019,Maldives,General Programme Assistance,136129,
2019,Mauritius,Commodity Aid,60768,60768.0
2019,Mauritius,Biosphere and Biodiversity,8001,8001.0
2019,Mauritius,Social Services,67269,
2019,Mauritius,Education,57089,
2019,Palau,Social Services,9995,
2019,Papua New Guinea,Biosphere and Biodiversity,34705,34705.0
2019,Seychelles,Health,481615,
2019,Seychelles,Education,58311,
2019,Seychelles,Social Services,388466,
2019,Seychelles,Energy Generation and Supply,6071331,
2019,Seychelles,General Programme Assistance,136129,
2019,Tonga,Social Services,7246,
2022,Yemen,General Programme Assistance,301994577,301994577.0
2022,Yemen,Commodity Aid,20681625,17594231.0
2022,Yemen,Health,18817692,18817692.0
2022,Yemen,Construction and Civil Development,17559892,17559892.0
2022,Yemen,Social Services,13076642,11395164.0
2022,Yemen,Transport and Storage,12398857,12398857.0
2022,Yemen,Education,6663785,6663785.0
2022,Yemen,Water and Sanitation,196057,196057.0
2022,Ethiopia,Commodity Aid,89725873,89681441.0
2022,Ethiopia,Health,77120228,76869405.0
2022,Ethiopia,Industry,6530137,6530137.0
2022,Ethiopia,Social Services,5927432,
2022,Ethiopia,General Programme Assistance,1737027,1700000.0
2022,Ethiopia,Transport and Storage,966512,966512.0
2022,Ethiopia,Environment and Climate Change,186360,186360.0
2022,Ethiopia,Water and Sanitation,57063,
2022,Ethiopia,Biosphere and Biodiversity,47421,47421.0
2022,Ethiopia,Education,35121,
2022,Somalia,Construction and Civil Development,20750033,20750033.0
2022,Somalia,Commodity Aid,20368613,17723506.0
2022,Somalia,Social Services,7413263,
2022,Somalia,Transport and Storage,3260075,3260075.0
2022,Somalia,General Programme Assistance,1954269,1498141.0
2022,Somalia,Water and Sanitation,1874629,
2022,Somalia,Education,865389,310000.0
2022,Somalia,Health,428551,294760.0
2022,Sudan,Social Services,14600047,80002.0
2022,Sudan,Commodity Aid,11333255,2096919.0
2022,Sudan,Health,5217636,5104661.0
2022,Sudan,General Programme Assistance,3617566,301164.0
2022,Sudan,Education,1541839,1083154.0
2022,Sudan,Water and Sanitation,1535083,828221.0
2022,Sudan,Government and Civil Society,13688,13688.0
2022,Sudan,Biosphere and Biodiversity,5001,5001.0
2022,Senegal,Social Services,10969146,2001.0
2022,Senegal,Industry,7500000,7500000.0
2022,Senegal,Government and Civil Society,5320822,5320822.0
2022,Senegal,Education,2285292,208195.0
2022,Senegal,Water and Sanitation,1893114,
2022,Senegal,Health,1659279,1560000.0
2022,Senegal,General Programme Assistance,348040,
2022,Senegal,Commodity Aid,98263,5001.0
2022,Mauritania,Social Services,14386841,
2022,Mauritania,Industry,8780068,8780068.0
2022,Mauritania,Water and Sanitation,2037626,
2022,Mauritania,Transport and Storage,1331337,1331337.0
2022,Mauritania,Health,719952,529047.0
2022,Mauritania,Commodity Aid,687703,426260.0
2022,Mauritania,Education,666760,46912.0
2022,South Sudan,Construction and Civil Development,23484890,23484890.0
2022,South Sudan,General Programme Assistance,3760000,3760000.0
2022,South Sudan,Biosphere and Biodiversity,5001,5001.0
2022,Liberia,Health,20000000,20000000.0
2022,Liberia,Social Services,1468702,1200012.0
2022,Liberia,Energy Generation and Supply,427444,427444.0
2022,Liberia,Water and Sanitation,155656,
2022,Afghanistan,Health,16226286,16226286.0
2022,Afghanistan,Commodity Aid,4042249,3893602.0
2022,Afghanistan,Construction and Civil Development,600000,600000.0
2022,Afghanistan,Social Services,577071,577071.0
2022,Afghanistan,General Programme Assistance,530057,380044.0
2022,Afghanistan,Education,21011,21011.0
2022,Niger,Social Services,16234324,
2022,Niger,Water and Sanitation,3079805,
2022,Niger,Education,395001,165883.0
2022,Niger,General Programme Assistance,426156,
2022,Niger,Commodity Aid,254690,
2022,Bangladesh,Social Services,12434060,
2022,Bangladesh,Education,1301376,483446.0
2022,Bangladesh,Water and Sanitation,1196290,
2022,Bangladesh,Peace and Security,1000000,1000000.0
2022,Bangladesh,Health,468846,
2022,Bangladesh,Commodity Aid,384434,27226.0
2022,Bangladesh,General Programme Assistance,77695,
